EJERCICIO,NRO_OP,FECH_OP,LUG_EMI,CODIGO_FF,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_OP,ESTADO_OP,TIPO_DOC,NRO_DOC,ANIO_DOC,NRO_CANCE,CONFIRMADO,FECH_CONFIRM,IMPORTE_TOTAL,IMPORTE_LIQUIDO,CANT_IMPRES,FECH_ANUL,MOTIVO_ANUL,CONCEPTO,OBSERVACIONES,COD_EMP,IMPORTE_BONIFICACION,IMPORTE_DEDUCCIONES,ASIENTO,ASIENTO_ANUL,MONTO_SIN_IVA,DEUDA,BLOQUEADA,RECURSO,PERCIBIDO,NO_PAGADO,PAGADO,RECO_DEU_ORDEN,RECO_DEU_EJERCICIO,RECO_DEU_COMPRA,RECO_DEU_COMPRA_EJER,F931,SICORE,SG_DELEG_SOLIC,SG_NRO_SOLIC
2026,1288,2026-03-11 00:00:00,GMADA,110,1110117000,24,50072,P,N,,,,,S,2026-03-11 00:00:00,47100,47100,1,,,gastos Munic/Malle S.A.,,,0,0,,,38925.62,N,N,,,,,,,,,,S,,
2026,1285,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,26000,24745.12,1,,,empanadas,,,0,1254.88,,,21487.6,N,N,12.1.28.00,0,3338379.34,96786725.42,,,,,,S,,
2026,1283,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,17600,16750.55,1,,,pastas,,,0,849.45,,,14545.45,N,N,12.1.28.00,0,3320779.34,96786725.42,,,,,,S,,
2026,1282,2026-03-11 00:00:00,GMADA,132,1110106000,7,19,P,N,,,,,S,2026-03-11 00:00:00,12934,12568.51,1,,,arts de ferret,,,0,365.49,,,10689.25,N,N,17.5.01.21,0,17990,430096.61,,,,,,S,,
2026,1281,2026-03-11 00:00:00,GMADA,110,1110105000,6,41,P,N,,,,,S,2026-03-11 00:00:00,1700000,1700000,1,,,SERV,,,0,0,,,1700000,N,N,,,,,,,,,,S,,
2026,1278,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,24100,22936.83,1,,,pastas,,,0,1163.17,,,19917.35,N,N,12.1.28.00,0,2996679.34,96786725.42,,,,,,S,,
2026,1277,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,26000,24745.12,1,,,empanadas,,,0,1254.88,,,21487.6,N,N,12.1.28.00,0,2970679.34,96786725.42,,,,,,S,,
2026,1276,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,6500,6186.28,1,,,empanadas,,,0,313.72,,,5371.9,N,N,12.1.31.00,0,1519700,31284033.05,,,,,,S,,
2026,1275,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,28000,26648.59,1,,,Alimentos (pastas),,,0,1351.41,,,23140.49,N,N,12.1.28.00,0,2942679.34,96786725.42,,,,,,S,,
2026,1274,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,N,,30000,28552.07,1,,,Alimentos (pastas),,,0,1447.93,,,24793.38,N,N,12.1.28.00,0,2912679.34,96786725.42,,,,,,S,,
2026,1272,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,33000,31407.27,1,,,Alimentos (pastas),,,0,1592.73,,,27272.72,N,N,12.1.28.00,0,2879679.34,96786725.42,,,,,,S,,
2026,1271,2026-03-11 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-11 00:00:00,24100,22936.83,1,,,alimentos,,,0,1163.17,,,19917.35,N,N,12.1.31.00,0,1495600,31284033.05,,,,,,S,,
2026,1227,2026-03-06 00:00:00,GMADA,110,1110102000,2,50219,P,N,,,,,S,2026-03-06 00:00:00,159690.18,159690.18,1,,,gtos dic/25,,,0,0,,,154187.22,N,N,,,,,,,,,,S,,
2026,1437,2026-03-16 00:00:00,GMADA,131,1110104000,5,2627,P,N,,,,,S,2026-03-16 00:00:00,36000,34560,1,,,pastas,,,0,1440,,,29752.06,N,N,12.1.28.00,0,4931387.34,99653225.42,,,,,,S,,
2026,1436,2026-03-16 00:00:00,GMADA,110,1110105000,6,3563,P,N,,,,,S,2026-03-16 00:00:00,500000,500000,1,,,serv de luces,,,0,0,,,500000,N,N,,,,,,,,,,S,,
2026,1435,2026-03-16 00:00:00,GMADA,110,1110103000,3,50023,P,N,,,,,S,2026-03-16 00:00:00,42011.79,42011.79,1,,,periodo 02/26,,,0,0,,,34720.48,N,N,,,,,,,,,,S,,
2026,1426,2026-03-16 00:00:00,GMADA,110,1110102000,2,50070,P,N,,,,,N,,16858033.1,16858033.1,1,,,seg feb/26,,,0,0,,,13932258.76,N,N,,,,,,,,,,S,,
2026,1423,2026-03-16 00:00:00,GMADA,131,1110111000,3,50070,P,N,,,,,S,2026-03-16 00:00:00,120487.04,120487.04,1,,,seg feb/26,,,0,0,,,99576.07,N,N,12.1.03.03,0,2740104.15,74458643.14,,,,,,S,,
2026,1420,2026-03-16 00:00:00,GMADA,110,1110200000,8,50023,P,N,,,,,S,2026-03-16 00:00:00,23386.49,23386.49,1,,,periodo 02/26,,,0,0,,,19327.67,N,N,,,,,,,,,,S,,
2026,1415,2026-03-16 00:00:00,GMADA,110,1110105000,6,50023,P,N,,,,,S,2026-03-16 00:00:00,141053.32,141053.32,1,,,periodo 2/26,,,0,0,,,116572.97,N,N,,,,,,,,,,S,,
2026,1414,2026-03-16 00:00:00,GMADA,110,1110106000,7,50023,P,N,,,,,S,2026-03-16 00:00:00,59089.65,59089.65,1,,,periodo 02/26,,,0,0,,,48834.41,N,N,,,,,,,,,,S,,
2026,1412,2026-03-16 00:00:00,GMADA,110,1110102000,2,50023,P,N,,,,,S,2026-03-16 00:00:00,110525.1,110525.1,1,,,periodo 02/26,,,0,0,,,91343.03,N,N,,,,,,,,,,S,,
2026,1191,2026-03-05 00:00:00,GMADA,110,1110106000,7,50015,P,N,NOTA,2,2026,,S,2026-03-05 00:00:00,87500,87500,1,,,caja chica,,,0,0,,,73876.03,N,N,,,,,,,,,,S,,
2026,1189,2026-03-05 00:00:00,GMADA,110,1110105000,6,50363,P,N,,,,,S,2026-03-05 00:00:00,60019.97,60019.97,1,,,caja chica,,,0,0,,,55202.11,N,N,,,,,,,,,,S,,
2026,1265,2026-03-10 00:00:00,GMADA,,1110102000,2,50074,N,N,,,,,S,2026-03-10 00:00:00,981874.8,981874.8,1,,,DDJJ INGS BRUTOS FEB,,,0,0,10751,,981874.8,N,N,,,,,,,,,,S,,
2026,1264,2026-03-10 00:00:00,GMADA,110,1110113000,20,2142,P,N,EXPED,161,2025,,S,2026-03-10 00:00:00,1310000,1266380.66,1,,,servs,,,0,43619.34,,,1082644.62,N,N,,,,,,,,,,S,,
2026,1263,2026-03-10 00:00:00,GMADA,110,1110117000,24,2218,P,N,EXPED,3,2026,,S,2026-03-10 00:00:00,1650000,1650000,1,,,honorarios,,,0,0,,,1650000,N,N,,,,,,,,,,S,,
2026,1407,2026-03-13 00:00:00,GMADA,131,1110111000,3,50012,P,N,NOTA,5,2026,,S,2026-03-13 00:00:00,36058,36058,1,,,caja chica,,,0,0,,,29800,N,N,12.1.03.03,0,15307326.15,57759683.39,,,,,,S,,
2026,1406,2026-03-13 00:00:00,GMADA,110,1110115000,22,50012,P,N,NOTA,4,2026,,S,2026-03-13 00:00:00,35647.5,35647.5,1,,,caja chica,,,0,0,,,29460.74,N,N,,,,,,,,,,S,,
2026,1401,2026-03-13 00:00:00,GMADA,110,1110102000,2,50002,P,N,,,,,S,2026-03-13 00:00:00,214329.72,214329.72,1,,,facts deuda,,,0,0,,,214329.72,N,N,,,,,,,,,,S,,
2026,1399,2026-03-13 00:00:00,GMADA,110,1110102000,2,50001,P,N,,,,,S,2026-03-13 00:00:00,364968.92,364968.92,1,,,facts deuda,,,0,0,,,364968.92,N,N,,,,,,,,,,S,,
2026,1243,2026-03-09 00:00:00,GMADA,110,1110108000,14,789,P,N,,,,,S,2026-03-09 00:00:00,1347461.26,1347461.26,1,,,gtos feb,,,0,0,,,1347461.26,N,N,,,,,,,,,,S,,
2026,1234,2026-03-06 00:00:00,GMADA,,1110104000,11,50054,N,N,,,,,S,2026-03-06 00:00:00,281750,281750,1,,,ddjj feb/26,,,0,0,10439,,281750,N,N,,,,,,,,,S,S,,
2026,1233,2026-03-06 00:00:00,GMADA,110,1110102000,2,50283,P,N,,,,,S,2026-03-06 00:00:00,81565.03,81565.03,1,,,caja chica delegacion,,,0,0,,,77746.83,N,N,,,,,,,,,,S,,
2026,1452,2026-03-17 00:00:00,GMADA,110,1110101000,1,50012,P,N,NOTA,1,2026,,S,2026-03-17 00:00:00,40898.56,40898.56,1,,,caja chica,,,0,0,,,33800.46,N,N,,,,,,,,,,S,,
2026,1453,2026-03-17 00:00:00,GMADA,110,1110105000,6,3557,P,N,DECRE,78,2026,,S,2026-03-17 00:00:00,880000,880000,1,,,alojam,,,0,0,,,880000,N,N,,,,,,,,,,S,,
2026,1451,2026-03-17 00:00:00,GMADA,110,1110102000,2,50002,P,N,,,,,S,2026-03-17 00:00:00,859024.5,859024.5,1,,,linea 420516/420673/420294/420085/420510/424366/420515/4201083,,,0,0,,,709937.58,N,N,,,,,,,,,,S,,
